id,user,movie,rating
5912_2571,5912,2571,5
4654_899,4654,899,5
4647_2136,4647,2136,2
2837_597,2837,597,2
4452_110,4452,110,4
4892_780,4892,780,2
3729_434,3729,434,4
3934_1888,3934,1888,2
3163_219,3163,219,4
5957_610,5957,610,3
5809_1356,5809,1356,4
3951_2116,3951,2116,4
3082_21,3082,21,4
4508_2571,4508,2571,5
5627_3263,5627,3263,3
4827_2080,4827,2080,4
5100_851,5100,851,4
3253_1600,3253,1600,3
3198_2003,3198,2003,5
5957_2048,5957,2048,3
4852_3074,4852,3074,3
5108_2739,5108,2739,3
5658_1371,5658,1371,4
6021_151,6021,151,4
4725_89,4725,89,3
4806_1371,4806,1371,5
4964_1231,4964,1231,3
5083_3763,5083,3763,4
3807_1876,3807,1876,4
3790_2677,3790,2677,5
4357_2078,4357,2078,5
4655_1290,4655,1290,4
3065_81,3065,81,4
4715_420,4715,420,2
3457_1240,3457,1240,4
3526_3199,3526,3199,3
3138_1333,3138,1333,4
5443_858,5443,858,5
4816_2797,4816,2797,5
3035_2890,3035,2890,4
3724_2136,3724,2136,2
5519_2686,5519,2686,4
4405_903,4405,903,4
5851_3587,5851,3587,5
4137_1284,4137,1284,4
3977_356,3977,356,5
2967_2511,2967,2511,5
5806_2551,5806,2551,3
5685_2395,5685,2395,4
4635_2369,4635,2369,5
5710_2762,5710,2762,5
3497_2724,3497,2724,3
2869_2971,2869,2971,5
3418_1192,3418,1192,5
4753_1270,4753,1270,4
3760_1270,3760,1270,4
4819_3175,4819,3175,4
5604_1358,5604,1358,3
4094_1912,4094,1912,5
3693_2115,3693,2115,4
4096_1021,4096,1021,1
2837_648,2837,648,3
4543_1653,4543,1653,3
5962_1193,5962,1193,5
4491_2762,4491,2762,5
5709_480,5709,480,3
4825_2273,4825,2273,3
5026_48,5026,48,1
5957_1681,5957,1681,1
3128_2028,3128,2028,4
4707_3753,4707,3753,1
4041_2748,4041,2748,3
2913_58,2913,58,4
4024_2826,4024,2826,2
3143_19,3143,19,3
4298_1449,4298,1449,5
3626_1330,3626,1330,4
3218_3871,3218,3871,4
4626_3712,4626,3712,4
3681_1777,3681,1777,4
3627_1304,3627,1304,3
3590_2916,3590,2916,5
3539_846,3539,846,3
5501_1222,5501,1222,5
3217_2734,3217,2734,2
4823_605,4823,605,3
3183_941,3183,941,4
3481_3134,3481,3134,4
3294_2371,3294,2371,4
4333_2290,4333,2290,3
3610_1562,3610,1562,3
4386_2403,4386,2403,5
5333_2683,5333,2683,3
4058_2144,4058,2144,5
2998_3105,2998,3105,4
4517_1,4517,1,4
5778_2288,5778,2288,4
3823_3141,3823,3141,3
6000_2642,6000,2642,2
3884_3723,3884,3723,2
3563_529,3563,529,5
2952_1198,2952,1198,5
5843_3213,5843,3213,1
4868_968,4868,968,3
3108_168,3108,168,2
3772_1064,3772,1064,3
5163_104,5163,104,4
5893_1934,5893,1934,4
5675_1670,5675,1670,4
4571_1094,4571,1094,4
3077_1527,3077,1527,4
3230_1407,3230,1407,5
5387_1834,5387,1834,5
4574_111,4574,111,4
4490_3706,4490,3706,3
3823_3811,3823,3811,4
5601_1049,5601,1049,1
5530_224,5530,224,2
5602_3384,5602,3384,4
3592_2106,3592,2106,4
3808_3545,3808,3545,2
2928_588,2928,588,3
4523_6,4523,6,3
5526_824,5526,824,4
5077_2248,5077,2248,5
3835_3044,3835,3044,4
3224_1186,3224,1186,4
5837_102,5837,102,1
5948_2398,5948,2398,5
5969_2918,5969,2918,5
3618_2110,3618,2110,3
3934_141,3934,141,1
5010_3643,5010,3643,4
5127_2021,5127,2021,1
4591_2028,4591,2028,5
5689_2069,5689,2069,3
5857_440,5857,440,3
2832_2891,2832,2891,3
4498_1233,4498,1233,5
3778_161,3778,161,3
4917_2943,4917,2943,2
3217_612,3217,612,4
5387_1347,5387,1347,3
3834_370,3834,370,5
3679_1527,3679,1527,3
5448_509,5448,509,3
5220_1196,5220,1196,4
3207_112,3207,112,3
5634_3439,5634,3439,3
3970_2916,3970,2916,5
4471_318,4471,318,5
4784_1197,4784,1197,5
4653_3504,4653,3504,3
4762_951,4762,951,5
3789_928,3789,928,5
5345_1240,5345,1240,4
5015_3591,5015,3591,4
3510_29,3510,29,5
5009_2019,5009,2019,5
4336_648,4336,648,4
3320_2455,3320,2455,3
2974_356,2974,356,5
5747_1208,5747,1208,5
3778_3392,3778,3392,1
5484_3527,5484,3527,5
3184_345,3184,345,3
3965_2012,3965,2012,3
3963_911,3963,911,4
4107_2858,4107,2858,5
5638_2412,5638,2412,1
3086_3148,3086,3148,5
3740_507,3740,507,4
2999_2429,2999,2429,2
2907_1982,2907,1982,2
4473_1179,4473,1179,3
3313_555,3313,555,4
5443_1680,5443,1680,4
3618_1261,3618,1261,2
5666_3317,5666,3317,4
3380_144,3380,144,3
3311_2640,3311,2640,3
2934_1894,2934,1894,3
3778_2354,3778,2354,3
4361_1221,4361,1221,5
5888_915,5888,915,3
3242_3704,3242,3704,4
3958_1968,3958,1968,3
3620_93,3620,93,1
4222_272,4222,272,3
3646_541,3646,541,5
3323_2318,3323,2318,5
3511_2054,3511,2054,3
5367_1883,5367,1883,4
3211_3198,3211,3198,4
3180_3619,3180,3619,3
5976_1611,5976,1611,4
3521_1952,3521,1952,3
3292_552,3292,552,3
4287_1762,4287,1762,4
3200_800,3200,800,5
5386_3113,5386,3113,4
3691_1722,3691,1722,3
4384_180,4384,180,5
4764_2174,4764,2174,1
5363_858,5363,858,4
4140_318,4140,318,5
3393_1276,3393,1276,5
5256_2906,5256,2906,3
3576_934,3576,934,3
5996_2406,5996,2406,4
3312_2273,3312,2273,4
5780_1,5780,1,3
5964_1310,5964,1310,5
3097_2858,3097,2858,5
5900_3426,5900,3426,3
4411_11,4411,11,5
3847_32,3847,32,4
3503_2109,3503,2109,4
3635_3035,3635,3035,5
5441_2302,5441,2302,5
5211_2020,5211,2020,4
3490_246,3490,246,3
6040_3039,6040,3039,2
5826_1278,5826,1278,3
3206_2858,3206,2858,5
6035_1375,6035,1375,5
3625_1265,3625,1265,4
4947_235,4947,235,4
3172_3452,3172,3452,1
4530_3301,4530,3301,3
5480_2746,5480,2746,3
5225_2,5225,2,3
4647_266,4647,266,5
4656_1198,4656,1198,5
4227_1251,4227,1251,3
3240_1095,3240,1095,5
3308_350,3308,350,2
5498_39,5498,39,4
3993_2710,3993,2710,3
4506_1994,4506,1994,3
3588_912,3588,912,5
2997_2599,2997,2599,4
4948_2757,4948,2757,4
5496_45,5496,45,5
4796_1196,4796,1196,5
4318_2762,4318,2762,4
4344_188,4344,188,4
3513_2412,3513,2412,2
5452_1876,5452,1876,2
2889_474,2889,474,4
5738_2454,5738,2454,2
3228_2881,3228,2881,4
5248_1911,5248,1911,2
4979_2255,4979,2255,1
3271_1947,3271,1947,4
3416_1214,3416,1214,4
5340_1629,5340,1629,5
5754_2018,5754,2018,3
4194_1845,4194,1845,3
3339_1200,3339,1200,3
5636_921,5636,921,4
4048_1951,4048,1951,5
5504_2990,5504,2990,4
4222_3479,4222,3479,4
6036_2362,6036,2362,3
4062_3477,4062,3477,2
4408_2919,4408,2919,4
5144_3452,5144,3452,4
3717_1291,3717,1291,4
3513_2321,3513,2321,3
2895_3070,2895,3070,5
5046_2616,5046,2616,3
3390_3078,3390,3078,4
5418_912,5418,912,4
5142_3752,5142,3752,3
5005_1804,5005,1804,3
2866_2561,2866,2561,2
5070_663,5070,663,4
5367_105,5367,105,2
2840_1488,2840,1488,3
5026_2763,5026,2763,3
4977_2858,4977,2858,5
3618_253,3618,253,3
5473_1089,5473,1089,1
4043_1617,4043,1617,5
4446_1243,4446,1243,5
3807_2519,3807,2519,3
2953_2734,2953,2734,3
2857_2269,2857,2269,3
3934_3692,3934,3692,3
2820_1373,2820,1373,3
2918_314,2918,314,4
4310_1931,4310,1931,5
5432_1084,5432,1084,5
4682_3223,4682,3223,1
3866_3740,3866,3740,4
5231_3623,5231,3623,2
4505_2520,4505,2520,4
3422_1238,3422,1238,5
5451_2396,5451,2396,5
2853_3266,2853,3266,4
3527_3148,3527,3148,4
4318_539,4318,539,4
4916_466,4916,466,2
3328_3761,3328,3761,1
4024_2762,4024,2762,5
4399_2087,4399,2087,4
3067_2567,3067,2567,4
5627_3499,5627,3499,1
5614_441,5614,441,4
4601_1552,4601,1552,2
3013_497,3013,497,5
4983_2804,4983,2804,3
3378_1080,3378,1080,4
3202_2671,3202,2671,5
3263_457,3263,457,4
3955_368,3955,368,2
2900_858,2900,858,5
3191_507,3191,507,3
5996_1995,5996,1995,2
4277_921,4277,921,5
2914_2997,2914,2997,5
5000_3274,5000,3274,4
4344_2318,4344,2318,4
5282_2054,5282,2054,3
3658_1374,3658,1374,4
4411_180,4411,180,4
5396_1610,5396,1610,3
3841_1214,3841,1214,5
4689_2995,4689,2995,1
2840_647,2840,647,2
4048_945,4048,945,4
3311_1882,3311,1882,2
3710_1777,3710,1777,3
4732_1881,4732,1881,2
6024_1291,6024,1291,4
5605_1010,5605,1010,1
4345_1307,4345,1307,5
5933_2700,5933,2700,5
4086_3247,4086,3247,5
4451_147,4451,147,4
4007_3498,4007,3498,2
5831_1289,5831,1289,4
4429_3018,4429,3018,3
3469_380,3469,380,4
5837_1210,5837,1210,4
3939_1304,3939,1304,5
2883_2683,2883,2683,3
5906_3548,5906,3548,3
2810_1207,2810,1207,5
3804_34,3804,34,5
4580_2770,4580,2770,4
4725_1912,4725,1912,3
4114_3660,4114,3660,3
4167_3006,4167,3006,3
5077_1635,5077,1635,4
3808_2296,3808,2296,2
4969_2762,4969,2762,2
4511_2640,4511,2640,4
4510_1644,4510,1644,2
3530_780,3530,780,5
4578_349,4578,349,4
3742_1459,3742,1459,4
3314_2530,3314,2530,4
3327_2139,3327,2139,4
5643_3420,5643,3420,3
4041_1584,4041,1584,4
3471_2555,3471,2555,1
4808_3745,4808,3745,5
4064_3037,4064,3037,5
3887_1875,3887,1875,3
3850_2959,3850,2959,5
5084_1073,5084,1073,3
3029_2640,3029,2640,4
4964_3363,4964,3363,4
3727_2606,3727,2606,3
3411_1573,3411,1573,1
2815_266,2815,266,4
4884_3654,4884,3654,3
3680_3246,3680,3246,5
4643_988,4643,988,3
3202_150,3202,150,4
4354_337,4354,337,5
3308_2822,3308,2822,3
5754_969,5754,969,4
5705_356,5705,356,5
3121_3285,3121,3285,4
5795_3385,5795,3385,1
3030_3100,3030,3100,5
3129_3702,3129,3702,2
5795_7,5795,7,3
4569_368,4569,368,4
3884_1060,3884,1060,2
3752_1220,3752,1220,4
5878_3424,5878,3424,4
3568_1200,3568,1200,5
4685_2968,4685,2968,4
4122_2028,4122,2028,5
4354_1213,4354,1213,5
2857_1391,2857,1391,3
2899_2750,2899,2750,4
4384_2683,4384,2683,3
2792_2541,2792,2541,1
5862_145,5862,145,5
3518_223,3518,223,4
5948_162,5948,162,5
3521_3671,3521,3671,4
3577_2671,3577,2671,5
3539_3770,3539,3770,3
3356_1029,3356,1029,5
3140_708,3140,708,4
3423_3392,3423,3392,1
4802_1129,4802,1129,4
4675_2571,4675,2571,4
3087_920,3087,920,3
5592_2019,5592,2019,5
4480_383,4480,383,2
3513_2710,3513,2710,5
3272_273,3272,273,4
3957_1777,3957,1777,4
3754_1958,3754,1958,4
3910_2716,3910,2716,4
3228_1029,3228,1029,3
3507_3518,3507,3518,2
5759_2116,5759,2116,2
3312_919,3312,919,4
4543_292,4543,292,3
4448_2919,4448,2919,4
3148_104,3148,104,3
4153_836,4153,836,4
3311_1988,3311,1988,1
4072_1235,4072,1235,4
3822_3504,3822,3504,4
4705_1084,4705,1084,4
5954_2460,5954,2460,3
5324_593,5324,593,5
3229_512,3229,512,1
4506_3147,4506,3147,4
5553_1339,5553,1339,4
4756_74,4756,74,3
3198_1345,3198,1345,4
4342_165,4342,165,4
3736_1917,3736,1917,3
5972_2081,5972,2081,4
4213_2699,4213,2699,4
3611_1391,3611,1391,4
3540_2541,3540,2541,4
5317_3019,5317,3019,5
5111_1759,5111,1759,4
3081_1320,3081,1320,3
5131_3071,5131,3071,4
4054_2529,4054,2529,4
4211_3841,4211,3841,4
5916_1197,5916,1197,4
5703_2649,5703,2649,3
4867_838,4867,838,4
5249_276,5249,276,4
5813_2791,5813,2791,5
5600_1957,5600,1957,3
5469_3740,5469,3740,4
4456_562,4456,562,4
5428_3020,5428,3020,3
4810_1580,4810,1580,2
2917_3175,2917,3175,2
5107_2788,5107,2788,3
3108_1197,3108,1197,2
5011_594,5011,594,4
3430_1230,3430,1230,5
3341_3036,3341,3036,5
4951_1175,4951,1175,3
3129_233,3129,233,5
3519_3396,3519,3396,3
3896_172,3896,172,2
5825_3020,5825,3020,2
5964_2858,5964,2858,5
4345_2291,4345,2291,4
4990_34,4990,34,4
4253_3634,4253,3634,5
3618_934,3618,934,3
5643_1966,5643,1966,3
5576_434,5576,434,4
4048_1625,4048,1625,3
4456_111,4456,111,5
5153_2750,5153,2750,4
4350_2117,4350,2117,5
6016_3360,6016,3360,4
3478_954,3478,954,5
5990_3006,5990,3006,4
3539_955,3539,955,5
3701_2115,3701,2115,3
3792_1150,3792,1150,3
5337_471,5337,471,4
5113_2206,5113,2206,3
3778_2639,3778,2639,3
2792_2058,2792,2058,3
5980_971,5980,971,4
5971_2355,5971,2355,4
3721_1221,3721,1221,5
3884_1258,3884,1258,2
4470_2194,4470,2194,5
3937_3703,3937,3703,4
4522_2000,4522,2000,4
3437_2174,3437,2174,4
3259_1917,3259,1917,3
4480_247,4480,247,2
5153_3169,5153,3169,3
3262_2324,3262,2324,5
4367_924,4367,924,4
3807_2212,3807,2212,2
3482_2371,3482,2371,4
4115_1135,4115,1135,4
3205_1569,3205,1569,1
5880_3835,5880,3835,3
3461_457,3461,457,5
5650_1566,5650,1566,2
3180_1485,3180,1485,3
4526_2730,4526,2730,5
5121_1148,5121,1148,5
3361_589,3361,589,5
5847_410,5847,410,4
5403_1210,5403,1210,4
5122_3052,5122,3052,5
3624_2529,3624,2529,5
3390_1955,3390,1955,4
5082_2396,5082,2396,5
5781_2976,5781,2976,2
2861_2599,2861,2599,4
2792_2002,2792,2002,3
5359_1754,5359,1754,5
4808_1297,4808,1297,4
3865_3174,3865,3174,5
5290_2762,5290,2762,5
5674_235,5674,235,3
5924_3020,5924,3020,4
3389_2694,3389,2694,2
5733_2951,5733,2951,5
5834_902,5834,902,5
4837_1732,4837,1732,3
3292_944,3292,944,4
5595_2167,5595,2167,2
5220_2272,5220,2272,2
2950_2846,2950,2846,3
4675_1649,4675,1649,5
4906_2605,4906,2605,4
3539_2956,3539,2956,4
3847_1339,3847,1339,1
5416_3710,5416,3710,3
4371_915,4371,915,5
4215_1103,4215,1103,3
3785_3016,3785,3016,3
3422_1960,3422,1960,2
4195_318,4195,318,5
5916_1246,5916,1246,4
3824_34,3824,34,5
4125_1230,4125,1230,4
3704_1711,3704,1711,3
3163_2404,3163,2404,2
5105_1962,5105,1962,4
3895_497,3895,497,4
2793_1586,2793,1586,4
3093_3240,3093,3240,5
3402_1278,3402,1278,4
4227_1199,4227,1199,3
5403_783,5403,783,3
5418_593,5418,593,5
5532_852,5532,852,4
3999_2421,3999,2421,3
3386_3408,3386,3408,4
5015_3668,5015,3668,5
4928_246,4928,246,4
3878_1019,3878,1019,5
3601_1358,3601,1358,5
2896_432,2896,432,3
4433_480,4433,480,4
4812_1645,4812,1645,2
3067_523,3067,523,5
2818_2694,2818,2694,3
4562_2000,4562,2000,3
3618_210,3618,210,3
3308_186,3308,186,3
3371_2005,3371,2005,3
5824_2416,5824,2416,2
3889_1249,3889,1249,4
5376_2502,5376,2502,4
3650_376,3650,376,3
3131_3788,3131,3788,3
5250_891,5250,891,4
5568_1408,5568,1408,2
3576_3451,3576,3451,3
3842_2058,3842,2058,2
3651_377,3651,377,4
2935_3918,2935,3918,2
3773_2423,3773,2423,3
3770_3175,3770,3175,4
5702_904,5702,904,4
3551_1358,3551,1358,4
5427_141,5427,141,4
4951_2100,4951,2100,2
2941_1220,2941,1220,4
4487_3299,4487,3299,2
5555_527,5555,527,5
2999_1713,2999,1713,2
4935_265,4935,265,4
3554_1261,3554,1261,5
4345_3387,4345,3387,2
5251_1294,5251,1294,4
6016_3010,6016,3010,5
3465_1197,3465,1197,4
5289_2078,5289,2078,4
3576_3418,3576,3418,3
5978_2081,5978,2081,5
3031_1614,3031,1614,2
5256_2413,5256,2413,3
3031_3006,3031,3006,4
4536_1,4536,1,3
3778_945,3778,945,4
5509_1096,5509,1096,1
5220_2968,5220,2968,4
3485_3468,3485,3468,5
3917_47,3917,47,3
3391_2261,3391,2261,4
5054_3079,5054,3079,3
2885_288,2885,288,5
5592_316,5592,316,3
4993_2671,4993,2671,4
3599_1591,3599,1591,3
5675_141,5675,141,4
5676_2289,5676,2289,1
5741_2628,5741,2628,4
5205_1704,5205,1704,4
5621_1645,5621,1645,4
3280_1909,3280,1909,3
4029_1221,4029,1221,5
4023_2968,4023,2968,2
3134_2568,3134,2568,4
2818_3471,2818,3471,4
4482_2150,4482,2150,4
4033_237,4033,237,3
3309_1220,3309,1220,4
3712_3082,3712,3082,4
3824_2751,3824,2751,1
5733_1057,5733,1057,5
4193_3682,4193,3682,4
4033_1291,4033,1291,5
2948_1411,2948,1411,5
5830_3527,5830,3527,3
4573_147,4573,147,3
5916_2353,5916,2353,4
4454_185,4454,185,2
4329_1717,4329,1717,4
4161_3643,4161,3643,3
3185_2340,3185,2340,4
3183_2019,3183,2019,4
3864_3215,3864,3215,5
5460_2599,5460,2599,4
5715_2905,5715,2905,5
3313_920,3313,920,3
5615_2000,5615,2000,3
4983_1291,4983,1291,3
4411_3635,4411,3635,5
5689_1372,5689,1372,2
5289_1189,5289,1189,5
3320_1595,3320,1595,1
4948_2762,4948,2762,4
3770_912,3770,912,5
2807_1948,2807,1948,5
3145_2985,3145,2985,2
5262_3157,5262,3157,3
5201_3035,5201,3035,3
3972_1127,3972,1127,5
3774_32,3774,32,5
3830_3145,3830,3145,5
3965_785,3965,785,5
4260_2080,4260,2080,3
5717_1305,5717,1305,5
4053_1498,4053,1498,3
5270_2872,5270,2872,5
5269_2861,5269,2861,2
5689_1625,5689,1625,5
5747_2011,5747,2011,3
5677_3101,5677,3101,3
2793_3608,2793,3608,3
5529_934,5529,934,3
4572_5,4572,5,5
4920_926,4920,926,5
5256_3107,5256,3107,4
5768_3580,5768,3580,4
3919_2302,3919,2302,4
4433_1233,4433,1233,4
5880_599,5880,599,3
3246_1682,3246,1682,3
4480_1120,4480,1120,4
5364_291,5364,291,2
4588_587,4588,587,5
4097_1270,4097,1270,4
3490_1078,3490,1078,4
6002_1204,6002,1204,5
4099_3481,4099,3481,4
3356_1284,3356,1284,5
5880_3688,5880,3688,2
3450_1916,3450,1916,1
5002_2987,5002,2987,3
5795_466,5795,466,2
3491_111,3491,111,5
3641_1589,3641,1589,5
4865_3362,4865,3362,2
4266_3564,4266,3564,3
5848_3396,5848,3396,3
5677_3249,5677,3249,4
5347_1690,5347,1690,4
3823_1722,3823,1722,4
4882_3201,4882,3201,4
3526_1573,3526,1573,3
5749_320,5749,320,3
5868_1950,5868,1950,4
4918_2423,4918,2423,3
5627_1188,5627,1188,3
4452_1410,4452,1410,3
4021_3638,4021,3638,4
3705_349,3705,349,3
3681_914,3681,914,5
3430_1219,3430,1219,3
5111_788,5111,788,5
5614_1875,5614,1875,2
6021_1270,6021,1270,4
3045_2662,3045,2662,5
4050_1225,4050,1225,4
4505_1608,4505,1608,4
5623_1347,5623,1347,3
4306_494,4306,494,3
3993_1036,3993,1036,4
4675_171,4675,171,4
3923_541,3923,541,5
4058_1476,4058,1476,4
2918_2289,2918,2289,5
3507_1257,3507,1257,4
4412_1586,4412,1586,3
3217_2686,3217,2686,5
5237_2641,5237,2641,3
2895_2867,2895,2867,3
2792_3471,2792,3471,3
4094_1020,4094,1020,4
4386_2995,4386,2995,3
4064_2657,4064,2657,3
3629_2300,3629,2300,5
3709_1639,3709,1639,3
5733_2512,5733,2512,5
5111_3543,5111,3543,3
3018_3928,3018,3928,4
3147_2683,3147,2683,4
5271_1446,5271,1446,4
3014_1304,3014,1304,5
5854_480,5854,480,5
5697_2861,5697,2861,5
4591_173,4591,173,2
5847_3387,5847,3387,4
5153_3072,5153,3072,3
5041_608,5041,608,3
2968_141,2968,141,4
5333_832,5333,832,4
2881_2369,2881,2369,1
3690_2166,3690,2166,2
4312_2338,4312,2338,3
3300_2866,3300,2866,3
5184_296,5184,296,5
5982_1047,5982,1047,4
3884_1971,3884,1971,1
4561_2297,4561,2297,3
4451_1845,4451,1845,3
3216_1603,3216,1603,3
4867_588,4867,588,4
3526_910,3526,910,2
4235_3181,4235,3181,2
3073_2542,3073,2542,5
5231_1201,5231,1201,4
3625_1617,3625,1617,5
4656_1036,4656,1036,5
4277_1722,4277,1722,4
3439_3479,3439,3479,5
3498_3105,3498,3105,4
2854_3135,2854,3135,3
4162_339,4162,339,4
4198_2795,4198,2795,5
3563_2313,3563,2313,4
4752_933,4752,933,4
3594_778,3594,778,1
4824_1271,4824,1271,3
3265_2231,3265,2231,4
3806_253,3806,253,5
3107_3524,3107,3524,3
4488_1036,4488,1036,4
5824_420,5824,420,3
4482_317,4482,317,3
4277_3204,4277,3204,5
3829_1875,3829,1875,4
3311_260,3311,260,4
3999_1953,3999,1953,4
5908_1090,5908,1090,5
6014_1029,6014,1029,3
5340_223,5340,223,4
5568_3081,5568,3081,5
5706_2396,5706,2396,4
3265_1221,3265,1221,3
4531_3481,4531,3481,5
5367_2640,5367,2640,2
4887_2501,4887,2501,4
5841_194,5841,194,3
3718_2985,3718,2985,3
4964_593,4964,593,5
5937_337,5937,337,3
5698_318,5698,318,5
4673_3179,4673,3179,3
3281_380,3281,380,5
4532_1961,4532,1961,4
3224_233,3224,233,5
5699_3022,5699,3022,2
5915_550,5915,550,4
4128_1220,4128,1220,5
3118_3418,3118,3418,3
3930_2528,3930,2528,3
3611_2139,3611,2139,4
3945_2006,3945,2006,3
3472_1037,3472,1037,1
2941_1301,2941,1301,4
3504_3081,3504,3081,3
4856_2019,4856,2019,5
3666_110,3666,110,5
3948_1394,3948,1394,4
4959_272,4959,272,5
5792_162,5792,162,3
3243_3536,3243,3536,4
5056_2946,5056,2946,5
5950_3247,5950,3247,1
3718_290,3718,290,4
4160_2010,4160,2010,4
5347_648,5347,648,4
3778_351,3778,351,2
5266_527,5266,527,5
3491_1526,3491,1526,4
3322_1645,3322,1645,4
6030_2054,6030,2054,3
5455_2763,5455,2763,4
4643_377,4643,377,1
2852_2367,2852,2367,3
4535_2457,4535,2457,4
5452_3267,5452,3267,2
3101_3638,3101,3638,4
4473_233,4473,233,2
3683_3252,3683,3252,1
3556_1097,3556,1097,4
5854_1356,5854,1356,4
3201_1028,3201,1028,4
4265_380,4265,380,5
4704_507,4704,507,2
4387_2455,4387,2455,3
4816_3206,4816,3206,5
3565_2393,3565,2393,3
5937_3552,5937,3552,4
3425_150,3425,150,3
